unix_time,local_time,utc_time,temp,cond,sal,nitrate,hdo,sat,phv,ph,s_nitrate,s_nitrogen,nitrate_flg,oxygen_flg,temp_flg,key
1496692684.18,2017/06/05 12:58:4.176643 US/Pacific,2017-06-05T19:58:04+00:00,21.046,3491.4,1.832,71.62,3.968,44.8,5.9,6.788,,,1,1,1,1
1496694709.39,2017/06/05 13:31:49.391458 US/Pacific,2017-06-05T20:31:49+00:00,21.094,3482.2,1.83,90.14,3.79,42.8,4.46,6.814,,,1,1,1,2
1496696734.41,2017/06/05 14:05:34.411452 US/Pacific,2017-06-05T21:05:34+00:00,21.234,3457,1.816,100.18,3.928,44.5,4.4,6.816,,,1,1,1,3
1496698759.79,2017/06/05 14:39:19.789603 US/Pacific,2017-06-05T21:39:19+00:00,21.41,3423.2,1.796,107.28,3.708,42.16,4.48,6.814,,,1,1,1,4
1496700785.03,2017/06/05 15:13:5.031755 US/Pacific,2017-06-05T22:13:05+00:00,21.554,3377.8,1.77,108.96,3.51,40,5.9,6.788,,,1,1,1,5
1496702810.2,2017/06/05 15:46:50.199789 US/Pacific,2017-06-05T22:46:50+00:00,21.63,3395.8,1.78,126.92,4.42,50.46,0.72,6.882,,,1,1,1,6
1496705851.6,2017/06/05 16:37:31.601010 US/Pacific,2017-06-05T23:37:31+00:00,21.724,3330.2,1.74,118.8,3.562,40.72,4.16,6.818,,,1,1,1,7
1496707876.6,2017/06/05 17:11:16.602187 US/Pacific,2017-06-06T00:11:16+00:00,21.51,3330.4,1.742,131.22,3.86,43.98,1.5,6.868,,,1,1,1,8
1496709901.83,2017/06/05 17:45:1.827802 US/Pacific,2017-06-06T00:45:01+00:00,21.336,3317.4,1.74,134.74,3.478,39.48,1.64,6.864,,,1,1,1,9
1496711926.83,2017/06/05 18:18:46.825826 US/Pacific,2017-06-06T01:18:46+00:00,21.004,3279.2,1.72,133.58,2.95,33.2,2.26,6.854,,,1,1,1,10
1496713951.89,2017/06/05 18:52:31.888090 US/Pacific,2017-06-06T01:52:31+00:00,20.72,3255.8,1.702,145.62,4.028,45.12,-1.86,6.93,,,1,1,1,11
1496715977.1,2017/06/05 19:26:17.100802 US/Pacific,2017-06-06T02:26:17+00:00,20.196,3244.2,1.7,144.6,2.986,33.14,-0.1,6.898,,,1,1,1,12
