unix_time,local_time,utc_time,temp,cond,sal,nitrate,hdo,sat,phv,ph,s_nitrate,s_nitrogen,nitrate_flg,oxygen_flg,temp_flg,key
1496693463,2017/06/05 13:11:3.233762 US/Pacific,2017-06-05T20:11:03+00:00,21.076,3476,1.826,75.42,4.262,48.12,7.7,6.756,,,1,1,1,1
1496695488,2017/06/05 13:44:48.263337 US/Pacific,2017-06-05T20:44:48+00:00,21.182,3464,1.82,83.4,3.972,44.92,7.12,6.764,,,1,1,1,2
1496697514,2017/06/05 14:18:33.518665 US/Pacific,2017-06-05T21:18:33+00:00,21.282,3419.6,1.79,87.14,3.604,40.84,8.9,6.734,,,1,1,1,3
1496699539,2017/06/05 14:52:18.858461 US/Pacific,2017-06-05T21:52:18+00:00,21.394,3396.2,1.78,96.38,3.5,39.8,8.34,6.742,,,1,1,1,4
1496701564,2017/06/05 15:26:3.920830 US/Pacific,2017-06-05T22:26:03+00:00,21.616,3398.6,1.78,110.88,4.342,49.54,5.48,6.794,,,1,1,1,5
1496703589,2017/06/05 15:59:48.932707 US/Pacific,2017-06-05T22:59:48+00:00,21.752,3382.4,1.77,114.9,4.478,51.22,4.08,6.82,,,1,1,1,6
1496706631,2017/06/05 16:50:30.531253 US/Pacific,2017-06-05T23:50:30+00:00,21.692,3348.8,1.75,123.72,4.602,52.52,3.16,6.836,,,1,1,1,7
1496708655,2017/06/05 17:24:15.485198 US/Pacific,2017-06-06T00:24:15+00:00,21.49,3310.6,1.73,122.8,4.198,47.76,3.84,6.824,,,1,1,1,8
1496710681,2017/06/05 17:58:0.744286 US/Pacific,2017-06-06T00:58:00+00:00,21.242,3287.6,1.72,123.84,3.424,38.74,4.28,6.818,,,1,1,1,9
1496712706,2017/06/05 18:31:45.731530 US/Pacific,2017-06-06T01:31:45+00:00,20.944,3275.8,1.712,138.96,4,45.04,1.36,6.87,,,1,1,1,10
