unix_time,local_time,utc_time,temp,cond,sal,nitrate,hdo,sat,phv,ph,s_nitrate,s_nitrogen,nitrate_flg,oxygen_flg,temp_flg,key
1496693307.39,2017/06/05 13:08:27.394573 US/Pacific,2017-06-05T20:08:27+00:00,20.916,3503,1.84,85.3,5.094,57.38,0.36,6.886,,,1,1,1,1
1496695332.42,2017/06/05 13:42:12.419742 US/Pacific,2017-06-05T20:42:12+00:00,21.11,3484,1.83,91.76,4.738,53.58,2.02,6.856,,,1,1,1,2
1496697357.7,2017/06/05 14:15:57.698549 US/Pacific,2017-06-05T21:15:57+00:00,21.238,3449.2,1.81,99.08,4.6,52.14,3.08,6.838,,,1,1,1,3
1496699383.03,2017/06/05 14:49:43.027937 US/Pacific,2017-06-05T21:49:43+00:00,21.394,3416.2,1.79,104.58,4.594,52.22,3.4,6.834,,,1,1,1,4
1496701408.13,2017/06/05 15:23:28.126358 US/Pacific,2017-06-05T22:23:28+00:00,21.48,3419.6,1.79,123.58,5.002,56.92,0.46,6.888,,,1,1,1,5
1496703433.13,2017/06/05 15:57:13.127954 US/Pacific,2017-06-05T22:57:13+00:00,21.59,3391.4,1.78,127.74,5.274,60.18,-1.36,6.92,,,1,1,1,6
1496706474.82,2017/06/05 16:47:54.819316 US/Pacific,2017-06-05T23:47:54+00:00,21.49,3367,1.762,139.54,5.416,61.66,-2.3,6.938,,,1,1,1,7
1496708499.72,2017/06/05 17:21:39.724844 US/Pacific,2017-06-06T00:21:39+00:00,21.406,3330.6,1.742,139.8,5.146,58.46,-1.88,6.928,,,1,1,1,8
1496710525,2017/06/05 17:55:25 US/Pacific,2017-06-06T00:55:25+00:00,21.172,3303,1.73,135.5,4.15,47,0.74,6.882,,,1,1,1,9
1496712550.02,2017/06/05 18:29:10.021708 US/Pacific,2017-06-06T01:29:10+00:00,20.89,3283,1.72,146.6,4.29,48.2,-0.72,6.91,,,1,1,1,10
1496714575.13,2017/06/05 19:02:55.125988 US/Pacific,2017-06-06T02:02:55+00:00,20.624,3276.8,1.716,151.72,4.854,54.3,-3.74,6.964,,,1,1,1,11
1496716600.37,2017/06/05 19:36:40.371085 US/Pacific,2017-06-06T02:36:40+00:00,20.28,3247.6,1.7,159.44,4.358,48.48,-3.94,6.968,,,1,1,1,12
1496718625.61,2017/06/05 20:10:25.612135 US/Pacific,2017-06-06T03:10:25+00:00,19.766,3200.4,1.672,161.64,3.59,39.5,-3.14,6.952,,,1,1,1,13
1496720650.7,2017/06/05 20:44:10.701764 US/Pacific,2017-06-06T03:44:10+00:00,19.576,3194.4,1.67,171.24,3.758,41.18,-5.04,6.986,,,1,1,1,14
1496722676.12,2017/06/05 21:17:56.124382 US/Pacific,2017-06-06T04:17:56+00:00,19.34,3152.8,1.65,165.24,3.218,35.08,-3.24,6.954,,,1,1,1,15
1496724701.18,2017/06/05 21:51:41.175881 US/Pacific,2017-06-06T04:51:41+00:00,19.144,3134.6,1.64,165.6,2.724,29.6,-0.64,6.91,,,1,1,1,16
1496726726.01,2017/06/05 22:25:26.012624 US/Pacific,2017-06-06T05:25:26+00:00,19.34,3147.8,1.648,171.52,5.204,56.74,-3.78,6.962,,,1,1,1,17
1496728750.97,2017/06/05 22:59:10.967345 US/Pacific,2017-06-06T05:59:10+00:00,19.014,3108,1.62,162.4,2.93,31.7,0.78,6.88,,,1,1,1,18
1496730775.43,2017/06/05 23:32:55.427014 US/Pacific,2017-06-06T06:32:55+00:00,19.056,3119.6,1.63,201.9,2.928,31.76,-1.98,6.93,,,1,1,1,19
1496732800.2,2017/06/06 00:06:40.195944 US/Pacific,2017-06-06T07:06:40+00:00,19.366,3129.6,1.64,263.02,3.574,38.98,-9.1,7.062,,,1,1,1,20
1496734825.29,2017/06/06 00:40:25.285140 US/Pacific,2017-06-06T07:40:25+00:00,19.188,3102.8,1.62,260.2,2.38,25.9,-4.08,6.97,,,1,1,1,21
1496736850.01,2017/06/06 01:14:10.005523 US/Pacific,2017-06-06T08:14:10+00:00,18.922,3093.2,1.62,231.82,2.144,23.14,-1.36,6.92,,,1,1,1,22
1496738875.06,2017/06/06 01:47:55.056635 US/Pacific,2017-06-06T08:47:55+00:00,18.976,3062.4,1.6,260.04,2.306,24.94,-2.92,6.95,,,1,1,1,23
1496740899.89,2017/06/06 02:21:39.886768 US/Pacific,2017-06-06T09:21:39+00:00,18.908,3030.8,1.58,257.86,2.158,23.38,-2.26,6.938,,,1,1,1,24
1496742924.49,2017/06/06 02:55:24.490771 US/Pacific,2017-06-06T09:55:24+00:00,18.87,3049.4,1.59,260.24,2.21,23.88,-2.94,6.95,,,1,1,1,25
1496744949.49,2017/06/06 03:29:9.488675 US/Pacific,2017-06-06T10:29:09+00:00,18.682,3005.8,1.57,209.64,1.61,17.3,3.1,6.838,,,1,1,1,26
1496746974.42,2017/06/06 04:02:54.415757 US/Pacific,2017-06-06T11:02:54+00:00,18.658,3000.2,1.566,242,1.61,17.3,2.28,6.85,,,1,1,1,27
1496748999.43,2017/06/06 04:36:39.428283 US/Pacific,2017-06-06T11:36:39+00:00,18.638,3010.4,1.57,289.12,1.954,20.96,-1.84,6.93,,,1,1,1,28
1496751024.71,2017/06/06 05:10:24.707915 US/Pacific,2017-06-06T12:10:24+00:00,18.59,3005.4,1.57,288.56,2.014,21.56,-1.82,6.928,,,1,1,1,29
1496753049.69,2017/06/06 05:44:9.689396 US/Pacific,2017-06-06T12:44:09+00:00,18.52,3003.6,1.57,267.04,1.826,19.56,-1.11022302463e-017,6.894,,,1,1,1,30
1496755074.68,2017/06/06 06:17:54.684598 US/Pacific,2017-06-06T13:17:54+00:00,18.506,3016.4,1.57,307.34,1.962,21.08,-3.66,6.962,,,1,1,1,31
1496757099.72,2017/06/06 06:51:39.715289 US/Pacific,2017-06-06T13:51:39+00:00,18.44,3004.8,1.57,277.14,1.654,17.68,-0.74,6.91,,,1,1,1,32
1496759125,2017/06/06 07:25:24.996298 US/Pacific,2017-06-06T14:25:24+00:00,18.444,3016,1.57,341.2,1.842,19.72,-6.08,7.004,,,1,1,1,33
1496761149.68,2017/06/06 07:59:9.679580 US/Pacific,2017-06-06T14:59:09+00:00,18.512,3003.2,1.57,338.8,1.908,20.44,-7.1,7.026,,,1,1,1,34
1496763174.73,2017/06/06 08:32:54.733162 US/Pacific,2017-06-06T15:32:54+00:00,18.552,3010.4,1.57,340.1,1.948,20.88,-7.7,7.036,,,1,1,1,35
1496765199.68,2017/06/06 09:06:39.675859 US/Pacific,2017-06-06T16:06:39+00:00,18.53,3002,1.57,330.74,1.972,21.12,-7.76,7.036,,,1,1,1,36
1496767224.98,2017/06/06 09:40:24.976957 US/Pacific,2017-06-06T16:40:24+00:00,18.542,2990.6,1.56,332.24,2.012,21.56,-6.92,7.024,,,1,1,1,37
1496769250.01,2017/06/06 10:14:10.013303 US/Pacific,2017-06-06T17:14:10+00:00,18.7,3010,1.57,363.98,2.082,22.4,-11.16,7.098,,,1,1,1,38
1496771275.07,2017/06/06 10:47:55.074761 US/Pacific,2017-06-06T17:47:55+00:00,18.7,3015,1.57,397.74,2.4,25.86,-16.74,7.2,,,1,1,1,39
1496773300.36,2017/06/06 11:21:40.359163 US/Pacific,2017-06-06T18:21:40+00:00,18.784,3003.2,1.57,345.28,2.286,24.66,-13.9,7.148,,,1,1,1,40
1496775325.28,2017/06/06 11:55:25.279907 US/Pacific,2017-06-06T18:55:25+00:00,19.07,3006.6,1.57,336.14,2.526,27.36,-14.64,7.16,,,1,1,1,41
1496777350.42,2017/06/06 12:29:10.422093 US/Pacific,2017-06-06T19:29:10+00:00,19.322,3003.8,1.57,353.64,3.238,35.28,-21.1,7.282,,,1,1,1,42
1496779375.22,2017/06/06 13:02:55.222075 US/Pacific,2017-06-06T20:02:55+00:00,19.43,3002.8,1.564,311.08,3.562,38.9,-20.78,7.272,,,1,1,1,43
1496797830.89,2017/06/06 18:10:30.885917 US/Pacific,2017-06-07T01:10:30+00:00,20.2,2907.4,1.512,218.38,5.966,66.12,-19.94,7.26,,,1,1,1,44
