unix_time,local_time,utc_time,temp,cond,sal,nitrate,hdo,sat,phv,ph,s_nitrate,s_nitrogen,nitrate_flg,oxygen_flg,temp_flg,key
1496692061.17,2017/06/05 12:47:41.170801 US/Pacific,2017-06-05T19:47:41+00:00,21.264,3466.8,1.82,62.5,3.848,43.62,9.12,6.73,,,1,1,1,1
1496694086.33,2017/06/05 13:21:26.325926 US/Pacific,2017-06-05T20:21:26+00:00,21.436,3454,1.81,71.64,3.678,41.8,7.36,6.762,,,1,1,1,2
1496696111.34,2017/06/05 13:55:11.338397 US/Pacific,2017-06-05T20:55:11+00:00,21.562,3426.4,1.8,77.46,3.368,38.38,7.94,6.75,,,1,1,1,3
1496698136.62,2017/06/05 14:28:56.617447 US/Pacific,2017-06-05T21:28:56+00:00,21.61,3386.2,1.774,83.84,3.368,38.44,8.08,6.748,,,1,1,1,4
1496700162.02,2017/06/05 15:02:42.017917 US/Pacific,2017-06-05T22:02:42+00:00,21.7,3354,1.76,90.84,3.026,34.56,8.66,6.736,,,1,1,1,5
1496702187.02,2017/06/05 15:36:27.022965 US/Pacific,2017-06-05T22:36:27+00:00,21.85,3372,1.768,113.06,4.378,50.18,2.66,6.846,,,1,1,1,6
1496704212,2017/06/05 16:10:11.999564 US/Pacific,2017-06-05T23:10:11+00:00,21.79,3339.8,1.75,101.72,4.152,47.56,5.1,6.802,,,1,1,1,7
1496705228.42,2017/06/05 16:27:8.420264 US/Pacific,2017-06-05T23:27:08+00:00,21.804,3307.6,1.73,107.24,3.23,37,6.02,6.786,,,1,1,1,8
1496707253.59,2017/06/05 17:00:53.589553 US/Pacific,2017-06-06T00:00:53+00:00,21.668,3305.2,1.73,108.86,3.874,44.28,4.9,6.806,,,1,1,1,9
1496709278.57,2017/06/05 17:34:38.574922 US/Pacific,2017-06-06T00:34:38+00:00,21.47,3277.8,1.714,113.82,3.132,35.62,4.96,6.806,,,1,1,1,10
1496711303.71,2017/06/05 18:08:23.713635 US/Pacific,2017-06-06T01:08:23+00:00,21.284,3285,1.72,120.56,3.648,41.34,3.3,6.834,,,1,1,1,11
1496713328.79,2017/06/05 18:42:8.785285 US/Pacific,2017-06-06T01:42:08+00:00,20.974,3264.4,1.71,128.56,5.056,56.96,0.4,6.888,,,1,1,1,12
1496715353.99,2017/06/05 19:15:53.994828 US/Pacific,2017-06-06T02:15:53+00:00,20.538,3248.8,1.7,127.82,3.918,43.78,0.86,6.878,,,1,1,1,13
1496717379.29,2017/06/05 19:49:39.289526 US/Pacific,2017-06-06T02:49:39+00:00,20.158,3216.4,1.68,129.6,3.314,36.74,1.14,6.872,,,1,1,1,14
1496719404.57,2017/06/05 20:23:24.573861 US/Pacific,2017-06-06T03:23:24+00:00,19.844,3214,1.68,134.82,3.562,39.28,0.58,6.884,,,1,1,1,15
1496721429.8,2017/06/05 20:57:9.796977 US/Pacific,2017-06-06T03:57:09+00:00,19.644,3194.2,1.67,138.18,4.06,44.56,-0.34,6.902,,,1,1,1,16
